Code,Entity,Value,Bin
AFG,Afghanistan,120,5
AGO,Angola,115,5
BEN,Benin,1,1
BGD,Bangladesh,198,6
CAF,Central African Republic,3,2
CIV,Cote d'Ivoire,1,1
COD,Democratic Republic of Congo,603,7
COG,Congo,47,5
CPV,Cape Verde,56,5
DOM,Dominican Republic,11,3
EGY,Egypt,4,3
ERI,Eritrea,8,3
ETH,Ethiopia,152,6
GHA,Ghana,104,5
GMB,Gambia,6,3
HTI,Haiti,1,1
IDN,Indonesia,35,4
IND,India,265,6
IRN,Iran,3,2
IRQ,Iraq,4,3
MMR,Myanmar,44,5
MOZ,Mozambique,2,2
NER,Niger,33,4
NGA,Nigeria,638,7
NPL,Nepal,29,4
PAK,Pakistan,199,6
SDN,Sudan,79,5
SLE,Sierra Leone,34,4
SOM,Somalia,96,5
TCD,Chad,60,5
THA,Thailand,20,4
