ISO_A3,LONGITUDE,LATITUDE,NAME
ABW,-69.972795,12.5174,Aruba
AFG,66.496586,34.164262,Afghanistan
AGO,17.984249,-12.182762,Angola
AIA,-63.026361,18.242979,Anguilla
ALA,19.869671,60.156467,Åland
ALB,20.11384,40.654855,Albania
AND,1.539409,42.547643,Andorra
ARE,54.547256,23.466285,United Arab Emirates
ARG,-64.173331,-33.501159,Argentina
ARM,44.800564,40.459077,Armenia
ASM,-170.747153,-14.32671,American Samoa
ATA,35.885455,-79.843222,Antarctica
ATF,69.122136,-49.303721,Fr. S. Antarctic Lands
ATG,-61.790612,17.352249,Antigua and Barb.
AUS,134.04972,-24.129522,Australia
AUT,14.130515,47.518859,Austria
AZE,47.210994,40.402387,Azerbaijan
BDI,29.917086,-3.332836,Burundi
BEL,4.800448,50.785392,Belgium
BEN,2.352018,10.324775,Benin
BFA,-1.36388,12.673048,Burkina Faso
BGD,89.684963,24.214956,Bangladesh
BGR,25.15709,42.508785,Bulgaria
BHR,50.554816,26.055972,Bahrain
BHS,-77.146688,26.401789,Bahamas
BIH,18.06841,44.091051,Bosnia and Herz.
BLM,-62.833193,17.901987,St-Barthélemy
BLR,28.417701,53.821888,Belarus
BLZ,-88.712962,17.202068,Belize
BMU,-64.763573,32.296592,Bermuda
BOL,-64.593433,-16.666015,Bolivia
BRA,-49.55945,-12.098687,Brazil
BRB,-59.568966,13.163709,Barbados
BRN,114.551943,4.448298,Brunei
BTN,90.040294,27.536685,Bhutan
BWA,24.179216,-22.102634,Botswana
CAF,20.906897,6.989681,Central African Rep.
CAN,-101.9107,60.324287,Canada
CHE,7.463965,46.719114,Switzerland
CHL,-72.318871,-38.151771,Chile
CHN,106.337289,32.498178,China
CIV,-5.568618,7.49139,Côte d'Ivoire
CMR,12.473488,4.585041,Cameroon
COD,23.458829,-1.858167,Dem. Rep. Congo
COG,15.9005,0.142331,Congo
COK,-159.785675,-21.215993,Cook Is.
COL,-73.174347,3.373111,Colombia
COM,43.318094,-11.727683,Comoros
CPV,-23.639434,15.074761,Cabo Verde
CRI,-84.077922,10.0651,Costa Rica
CUB,-77.975855,21.334024,Cuba
CUW,-68.920578,12.145039,Curaçao
CYM,-81.24055,19.319862,Cayman Is.
CYP,33.084182,34.913329,Cyprus
CZE,15.377555,49.882364,Czechia
DEU,9.678348,50.961733,Germany
DJI,42.498825,11.976343,Djibouti
DMA,-61.344958,15.458829,Dominica
DNK,9.018163,55.966965,Denmark
DOM,-70.653998,19.104137,Dominican Rep.
DZA,2.808241,27.397406,Algeria
ECU,-78.188375,-1.259076,Ecuador
EGY,29.445837,26.186173,Egypt
ERI,38.285566,15.787401,Eritrea
ESH,-12.630304,23.967592,W. Sahara
ESP,-3.464718,40.090953,Spain
EST,25.867126,58.724865,Estonia
ETH,39.0886,8.032795,Ethiopia
FIN,27.276449,63.252361,Finland
FJI,177.975427,-17.826099,Fiji
FLK,-58.738602,-51.608913,Falkland Is.
FRO,-7.058429,62.185604,Faeroe Is.
FSM,158.234019,6.887553,Micronesia
GAB,11.835939,-0.437739,Gabon
GBR,-2.116346,54.402739,United Kingdom
GEO,43.735724,41.870087,Georgia
GGY,-2.561736,49.463533,Guernsey
