year,headline,stat,photo
1980,Defining Moment: The world confronts polio as a global threat,"≈350,000 children paralyzed each year in 125+ countries",Portrait of a child using crutches in a clinic courtyard
1981,Defining Moment: Brazil shows polio can be stopped,Brazil’s cases plunge to ≈122 after mass NIDs.,Children lined up at a school vaccination booth in Brazil
1982,Defining Moment: Campaigns push Brazil’s polio near zero,Cases fall to around 70.,Health worker marking a child’s finger with ink
1983,Defining Moment: Dominican Republic eliminates polio,National Immunization Days end transmission.,Crowds at a Dominican Republic immunization day
1984,Defining Moment: Finland halts a rare outbreak,Tens of thousands vaccinated within weeks stop spread.,Emergency vaccination clinic in Finland
1985,Defining Moment: A regional goal and a citizen army,PAHO targets Americas’ eradication by 1990; Rotary launches PolioPlus.,Rotary volunteers administering drops to children
1986,Defining Moment: Millions reached in a single year,PolioPlus supports vaccination for ≈150 million children.,Volunteer handing out vaccine vials
1987,Defining Moment: Investment and vigilance drive progress,Americas see ≈64% drop in cases after new financing & stronger surveillance.,Health worker vaccinating door-to-door
1988,Defining Moment: The world launches the Global Polio Eradication Initiative,"≈350,000 children paralyzed annually at launch.",Leaders at World Health Assembly announcing initiative
1989,Defining Moment: Oman’s outbreak reveals hidden risks,"Despite ≥85% routine coverage, cases occur—supplementary campaigns added.",Middle East vaccination awareness poster
1990,Defining Moment: Science builds a global defense,Global Polio Laboratory Network grows to 140+ accredited labs.,Technicians testing samples in a lab
1991,Defining Moment: Last indigenous case in the Americas,Peru records the final wild polio case in the region.,Peruvian child holding a vaccination card
1992,Defining Moment: Outbreak strikes unvaccinated groups in Europe,≈54 cases in vaccine-refusing communities (Netherlands).,Church-based vaccination outreach
1993,Defining Moment: U.S. confirms no wild polio circulation,Last imported case recorded; surveillance shows the virus is gone.,Public health workers testing sewage samples
1994,Defining Moment: The Americas certified polio-free,China vaccinates ~80 million children in mass campaigns the same era.,Celebration with banners declaring 'polio-free'
1995,Defining Moment: India launches massive Pulse Polio Days,87.8M children vaccinated (Dec 1995); 93.6M more (Jan 1996).,Indian street-side vaccination booth
1996,Defining Moment: Mandela calls to 'Kick Polio Out of Africa',Campaign spans 50+ countries.,Nelson Mandela with vaccination banner
1997,Defining Moment: Last wild polio case in Western Pacific,Cambodia reports the final case.,Map of Western Pacific with Cambodia highlighted
1998,Defining Moment: Europe records its final indigenous case,Turkey is last to report wild polio.,Map of Europe highlighting Turkey
1999,Defining Moment: The last wild type 2 case is recorded,"Final isolate in Bihar, India; serotype later declared eradicated (2015).",Virus schematic illustration
2000,Defining Moment: Western Pacific certified polio-free,≈550M children immunized since 1988.,Celebratory event in Asia-Pacific
2001,Defining Moment: Polio shrinks—and reveals a solvable risk,"Endemic countries drop to 10; <1,000 global cases; cVDPV appears where immunity is low.",Graph of global cases declining
2002,Defining Moment: Europe certified polio-free,≈870M people now live in certified regions.,Children waving European flags
2003,Defining Moment: Vaccination suspensions spark global spread,Suspension in northern Nigeria leads to outbreaks across dozens of countries.,Community dialogue about vaccine safety
2004,Defining Moment: Africa unites in synchronized campaigns,≈80M children immunized in 20 countries.,Volunteers carrying vaccine coolers
2005,Defining Moment: New vaccines target stubborn outbreaks,Monovalent OPVs enable precise outbreak control.,Vials labelled mOPV
2006,Defining Moment: Only four endemic countries remain,"Afghanistan, India, Nigeria, Pakistan still harbor polio.",Map showing four endemic countries
2007,Defining Moment: 400M children immunized worldwide,"Children reached in 27 countries, including remote Afghan mountains.",Health worker vaccinating a child on mountain paths
2008,Defining Moment: Outbreaks spread across West Africa,Importations from Nigeria reignite cases in 20+ countries.,Mothers queuing for vaccination
2009,Defining Moment: Outbreaks swiftly contained in Central Africa,Rapid mop-up campaigns prevent further spread.,Mobile vaccination team in Africa
2010,Defining Moment: Explosive outbreaks stopped fast,≈900 cases across Tajikistan & Congo halted within months.,Tajik health worker giving vaccine
2011,Defining Moment: India records its last wild polio case,From 741 cases (2009) to 1 case (2011) in a country of 1.2B.,Indian child with inked finger
2012,Defining Moment: Last wild type 3 case recorded,Final WPV3 case in Nigeria (Nov); serotype declared eradicated in 2019.,Chart showing eradicated strains
2013,Defining Moment: War cannot stop vaccination,22M children immunized after Syria’s outbreak spread to Iraq.,Aid worker vaccinating a Syrian refugee child
2014,Defining Moment: South-East Asia certified; WHO declares global emergency,≈1.8B people certified wild-polio-free; international spread declared a Public Health Emergency.,WHO press conference
2015,Defining Moment: Wild polio type 2 eradicated,WPV2 certified eradicated; Nigeria removed from endemic list.,Nigeria celebration event
2016,Defining Moment: Largest vaccine switch in history,150 countries switch from trivalent to bivalent OPV within weeks.,Infographic of vaccine switch
2017,Defining Moment: Vaccine-derived outbreaks outnumber wild polio,Wild polio drops to 22 cases; cVDPV appears where immunity is low.,Chart comparing wild vs cVDPV
2018,Defining Moment: Nigeria nears elimination; data speeds response,Two years without wild polio; cVDPV outbreaks test systems.,Health worker using a mobile app for surveillance
2019,Defining Moment: Wild polio type 3 eradicated,Second wild strain wiped out worldwide.,WHO eradication announcement
2020,Defining Moment: Africa certified free of wild polio—amid COVID-19,≈1.8B people live in a region certified wild-polio-free; door-to-door briefly paused then adapted.,Masked vaccinators celebrating in Africa
2021,Defining Moment: Novel OPV2 rolls out; Afghanistan resumes nationwide vaccination,nOPV2 used under WHO EUL from March; >100M doses administered; Afghan campaigns restart.,nOPV2 vial; Afghan children vaccinated
2022,Defining Moment: Polio detected in high-income settings,Paralytic case in New York; related virus found in wastewater; poliovirus detected in London sewage.,Scientist testing wastewater
2023,Defining Moment: More cVDPV countries; fewer wild cases; nOPV2 prequalified,WPV1 cases drop to ~12; 8 new cVDPV countries; WHO prequalifies nOPV2; hundreds of millions of doses used.,Map of outbreak countries with vaccine logistics
2024,Defining Moment: Dozens of cVDPV outbreaks tracked and tackled,74 cVDPV outbreaks across 39 countries (Jan 2023–Jun 2024); 600+ AFP cases investigated.,Graph of outbreaks with vaccination tents
2025,Defining Moment: Global emergency remains—until we finish everywhere,WHO maintains Public Health Emergency; cross-border spread detected via wastewater.,WHO emergency meeting with wastewater sampling
